Day,Calories Burned,Steps,Distance,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
15-Apr,"2,128","9,693",4.14,634,261,3,20,984,403,66,23,469,55,303,45
16-Apr,"2,229","9,870",4.39,691,244,7,29,"1,044",428,54,33,482,89,256,83
17-Apr,"2,177","11,596",5.34,686,228,11,33,"1,023",410,46,25,456,85,223,102
18-Apr,"2,128","10,279",4.83,725,206,9,44,980,391,55,24,446,58,234,99
19-Apr,"2,006","7,942",3.32,755,197,26,16,833,408,67,26,475,71,263,74
20-Apr,"3,019","21,330",9.1,432,366,112,55,"2,107",230,44,13,274,0,122,44
21-Apr,"2,700","13,731",5.74,720,329,81,36,"1,708",423,52,25,475,88,241,94
22-Apr,"2,450","14,868",6.53,587,309,23,46,"1,389",399,35,25,434,100,198,101
23-Apr,"2,315","13,038",5.52,660,272,35,39,"1,235",408,62,25,470,74,274,60
24-Apr,"2,020","8,937",3.88,722,209,6,33,859,389,66,29,455,35,296,58
25-Apr,"1,890","4,117",1.72,748,237,0,0,710,455,55,30,510,60,331,64
26-Apr,"2,032","4,154",1.74,639,291,0,0,883,395,54,25,449,82,243,70
27-Apr,"2,274","8,513",3.56,639,296,48,8,"1,192",305,40,15,345,31,227,47
28-Apr,"2,367","8,931",3.73,693,369,33,0,"1,363",409,62,28,471,50,295,64
29-Apr,"2,262","11,982",5.7,690,225,11,43,"1,127",398,51,26,449,66,228,104
30-Apr,"2,171","10,431",4.47,717,219,26,29,"1,021",383,57,16,440,94,206,83
01-May,"2,513","17,157",7.49,641,249,39,71,"1,441",389,63,27,452,10,278,101
02-May,"2,201","11,274",4.71,663,239,58,28,"1,113",399,52,26,451,88,262,49
03-May,"2,197","11,121",4.69,695,216,39,39,"1,075",340,36,21,376,48,210,82
04-May,"2,464","11,686",4.89,658,334,46,26,"1,423",319,55,15,374,35,203,81
05-May,"2,057","6,888",2.91,761,305,0,0,948,406,51,15,457,78,264,64
06-May,"2,260","12,928",6.13,693,226,23,41,"1,140",431,67,25,498,65,298,68
07-May,"2,034","7,507",3.36,672,249,6,15,890,420,51,23,471,88,230,102
08-May,"2,302","13,527",6.26,667,244,12,46,"1,171",389,62,33,451,55,274,60
09-May,"2,417","9,531",4.01,593,348,29,19,"1,392",174,47,9,221,0,134,40
10-May,"3,180","22,329",9.34,616,442,74,87,"2,344",352,48,22,400,63,218,71
11-May,"2,498","13,065",5.49,618,386,25,11,"1,440",218,27,9,245,48,118,52
12-May,"2,699","19,265",8.08,713,361,89,32,"1,738",389,13,1,402,0,0,0
